certificate_holder,mark_number,quality_logo,Descriptions,certificate_scope,certificate_data,certificate_holder_address,Final_url
"Hachinohe Gas Co., Ltd.",9105079359,https://www.certipedia.com/logos/000/144/732/9105079359_en.png?1501472422,The certificate holder's Management System corresponds to standard ISO 14001:2015.,"ISO 14001:
        Production and Supply of City Gas, Sales of the related Equipments and
Installation and Maintenance of Buried Gas Pipes",,"Hachinohe Gas Co., Ltd.3-6-48 Numadate,Hachinohe-shi, Aomori 0310071Japan",https://www.certipedia.com/quality_marks/9105079359?locale=en&certificate_number=01+104+1432173
A. Heuvelman Beheer B.V.,9108629341,https://www.certipedia.com/logos/000/275/336/9108629341_en.png?1564142074,The certificate holder's Management System corresponds to standard VCA*.,"VCA *:
        Het uitvoeren van elektrotechnische werkzaamheden",Certificates for management system according to VCA *,A. Heuvelman Beheer B.V.Griendstraat 6 d-e2921 LA KRIMPEN AAN DEN IJSSELNetherlands,https://www.certipedia.com/quality_marks/9108629341?locale=en&certificate_number=SH_1660356+02
A. Giacomelli S.A.,9105075797,https://www.certipedia.com/logos/000/118/126/9105075797_en.png?1556287805,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 9001:2015","IATF 16949:
        Manufacture of rubber and rubber-metal parts.
      
      
        ISO 9001:
        Manufacture of rubber and rubber-metal parts.","Certificate for management system according to IATF 16949
Certificate for management system according to ISO 9001","A. Giacomelli S.A.Ruta 9, km 690X5925XAD Ferreyra CórdobaArgentina",https://www.certipedia.com/quality_marks/9105075797?locale=en&certificate_number=01+10006+1324076
A. Giacomelli S.A.,9105075797,https://www.certipedia.com/logos/000/118/126/9105075797_en.png?1556287805,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 9001:2015","IATF 16949:
        Manufacture of rubber and rubber-metal parts.
      
      
        ISO 9001:
        Manufacture of rubber and rubber-metal parts.","Certificate for management system according to IATF 16949
Certificate for management system according to ISO 9001","A. Giacomelli S.A.Ruta 9, km 690X5925XAD Ferreyra CórdobaArgentina",https://www.certipedia.com/quality_marks/9105075797?locale=en&certificate_number=01+111+1324076
A. Heuvelman Beheer B.V.,9108629341,https://www.certipedia.com/logos/000/275/336/9108629341_en.png?1564142074,The certificate holder's Management System corresponds to standard VCA*.,"VCA *:
        Het uitvoeren van elektrotechnische werkzaamheden",Certificates for management system according to VCA *,A. Heuvelman Beheer B.V.Griendstraat 6 d-e2921 LA KRIMPEN AAN DEN IJSSELNetherlands,https://www.certipedia.com/quality_marks/9108629341?locale=en&certificate_number=SH_1660356+01
ACÉL-VAKOND Kft.,9105066009,https://www.certipedia.com/logos/000/090/004/9105066009_en.png?1524751217,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        civi engeneering, No-dig technology, steel and concrate pipe jacking, directional, pipe bursting.
      
      
        ISO 9001:
        civi engeneering, No-dig technology, steel and concrate pipe jacking, directional, pipe bursting.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001",ACÉL-VAKOND Kft.Kossuth utca 72.8420 ZircHungary,https://www.certipedia.com/quality_marks/9105066009?locale=en&certificate_number=01+104+1824099
"AMBIGROUP Resíduos, S.A.",9105063632,https://www.certipedia.com/logos/000/043/615/9105063632_en.png?1614766283,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              ISO 45001:2018","ISO 45001:
        Gestão global de resíduos, incluindo a recolha, armazenamento, tratamento, valorização e encaminhamento de resíduos para destino final e armazenamento temporário de equipamentos.
      
      
        ISO 9001:
        Global waste management, including the collection, storage, treatment, recovery and shipment of waste to final destination and temporary storage of equipment.","Certificate for management system according to ISO 45001
Certificates for management system according to ISO 9001","AMBIGROUP Resíduos, S.A.Edif. Ambigroup - R. Quinta das Lamas1679-013 Pontinha - OdivelasPortugal",https://www.certipedia.com/quality_marks/9105063632?locale=en&certificate_number=0+01+08529
Achim Wunderlich Bauunternehmung GmbH & Co. KG,9105063588,https://www.certipedia.com,,"SCC**:
        -",,Achim Wunderlich BauunternehmungGmbH & Co. KGCyriakusstr. 2850169 KerpenGermany,https://www.certipedia.com/quality_marks/9105063588?locale=en&certificate_number=01+013+0101544
ACL Automotive s.r.o.,9105074737,https://www.certipedia.com/logos/000/114/658/9105074737_en.png?1530598908,The certificate holder's Management System corresponds to standard ISO 14001:2015.,"ISO 14001:
        Manufacturing of roof rails, roof racks and car accessories.",Certificates for management system according to ISO 14001,"ACL Automotive s.r.o.Newtonova 596463 12 Liberec XXIII - Doubí, LiberecCzech Republic",https://www.certipedia.com/quality_marks/9105074737?locale=en&certificate_number=01+104+2141394
A7 Betons SIA,9000006924,https://www.certipedia.com/logos/000/406/686/9000006924_en.png?1594636512,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"LVS ISO 9001:
        Airport, runway, taxiway, apron, road, port, highway, sidewalk, bicycle lane, public transport bus stop, barrier, gutter, ditch and kerb construction and concrete services.",,"A7 Betons SIAAmulas iela 2ALV-1002 RīgaLatvia



      
      E-mail: tuv@tuv.lv",https://www.certipedia.com/quality_marks/9000006924?locale=en&certificate_number=10%2E16-156%2E1
